,Player,Salary
199,Onyeka Okongwu,"$6,395,160"
200,Josh Giddey,"$6,287,400"
201,Rui Hachimura,"$6,263,188"
202,Rudy Gay,"$6,184,500"
203,Jevon Carter,"$6,025,000"
204,Shaedon Sharpe,"$6,012,960"
205,Cameron Payne,"$6,000,000"
206,Otto Porter,"$6,000,000"
207,Justin Holiday,"$5,987,975"
208,Cam Reddish,"$5,954,454"
209,Cameron Johnson,"$5,887,899"
210,Ricky Rubio,"$5,853,659"
211,Killian Hayes,"$5,837,760"
212,PJ Washington,"$5,808,435"
213,Jonathan Kuminga,"$5,739,840"
214,Pat Connaughton,"$5,728,393"
215,Tyler Herro,"$5,722,116"
216,Romeo Langford,"$5,634,257"
217,Dyson Daniels,"$5,508,600"
218,JaVale McGee,"$5,461,219"
219,Goga Bitadze,"$5,377,520"
220,Obi Toppin,"$5,348,280"
221,Franz Wagner,"$5,258,280"
222,Kendrick Nunn,"$5,250,000"
223,Hamidou Diallo,"$5,200,000"
224,Cory Joseph,"$5,155,500"
225,Garrett Temple,"$5,155,500"
226,Torrey Craig,"$5,121,951"
227,Jeremy Sochan,"$5,063,520"
228,David Nwaba,"$5,022,000"
229,Nickeil Alexander-Walker,"$5,009,633"
230,Furkan Korkmaz,"$5,000,000"
231,Deni Avdija,"$4,916,160"
232,Davion Mitchell,"$4,833,600"
233,Johnny Davis,"$4,810,320"
234,Ty Jerome,"$4,728,948"
235,Ishmael Smith,"$4,725,000"
236,Jalen Smith,"$4,670,160"
237,Ziaire Williams,"$4,591,680"
238,Ousmane Dieng,"$4,569,840"
239,Moe Harkless,"$4,564,980"
240,Jeff Green,"$4,500,000"
241,Donte DiVincenzo,"$4,500,000"
242,Devin Vassell,"$4,437,000"
243,Matisse Thybulle,"$4,379,526"
244,Jarred Vanderbilt,"$4,374,000"
245,James Bouknight,"$4,362,240"
246,Brandon Clarke,"$4,343,919"
247,Jalen Williams,"$4,341,480"
248,Grant Williams,"$4,306,281"
249,Darius Bazley,"$4,264,628"
250,Tyrese Haliburton,"$4,215,120"
251,Nassir Little,"$4,171,548"
252,Josh Primo,"$4,144,320"
253,Jalen Duren,"$4,124,280"
254,Gorgui Dieng,"$4,105,236"
255,Danuel House,"$4,105,000"
256,Boban Marjanovic,"$4,101,478"
257,Justise Winslow,"$4,097,561"
258,Dylan Windler,"$4,037,277"
259,Stanley Johnson,"$4,022,164"
260,Kira Lewis,"$4,004,280"
261,George Hill,"$4,000,000"
262,Terence Davis,"$4,000,000"
263,Chris Duarte,"$3,936,960"
264,Alex Len,"$3,918,600"
265,Ochai Agbaji,"$3,918,360"
266,Jordan Poole,"$3,901,399"
267,Keldon Johnson,"$3,873,024"
268,Sviatoslav Mykhailiuk,"$3,846,895"
269,James Johnson,"$3,841,067"
270,Aaron Nesmith,"$3,804,360"
271,Moses Moody,"$3,740,160"
272,Mark Williams,"$3,722,040"
273,Cole Anthony,"$3,613,680"
274,Corey Kispert,"$3,552,840"
275,AJ Griffin,"$3,536,160"
276,Goran Dragic,"$3,523,762"
277,Mike Muscala,"$3,500,000"
278,Georges Niang,"$3,465,000"
279,Isaiah Stewart,"$3,433,320"
280,Chuma Okeke,"$3,433,320"
281,Trey Burke,"$3,423,750"
282,Amir Coffey,"$3,395,062"
283,Alperen Sengun,"$3,375,360"
284,Tari Eason,"$3,359,160"
285,Aleksej Pokusevski,"$3,261,480"
286,Kevin Porter,"$3,217,631"
